timestamp,round,flow_id,score,status
2026-02-11 03:37:11.747458,1,0,0.562903613741388,NORMAL
2026-02-11 03:37:11.747510,1,1,1.4999988173898577,ANOMALY
2026-02-11 03:37:11.747538,1,2,0.01420197356492281,NORMAL
2026-02-11 03:37:11.747563,1,3,0.382365882510327,NORMAL
2026-02-11 03:37:17.085438,2,0,0.6959286686321796,ANOMALY
2026-02-11 03:37:17.085496,2,1,1.499998376714951,ANOMALY
2026-02-11 03:37:17.085522,2,2,0.0,NORMAL
2026-02-11 03:37:17.085545,2,3,0.522535283734963,NORMAL
2026-02-11 03:37:22.415722,3,0,0.6332192492771489,ANOMALY
2026-02-11 03:37:22.415789,3,1,1.4999986534586693,ANOMALY
2026-02-11 03:37:22.415816,3,2,0.0,NORMAL
2026-02-11 03:37:22.415839,3,3,0.5393372538903145,NORMAL
2026-02-11 03:37:27.708586,4,0,0.6783377959348573,ANOMALY
2026-02-11 03:37:27.708694,4,1,1.4999988244927636,ANOMALY
2026-02-11 03:37:27.708782,4,2,0.0,NORMAL
2026-02-11 03:37:27.708814,4,3,0.30358594812775097,NORMAL
2026-02-11 03:37:33.010766,5,0,0.7205329505400131,ANOMALY
2026-02-11 03:37:33.010820,5,1,1.4999987321042705,ANOMALY
2026-02-11 03:37:33.010848,5,2,0.0,NORMAL
2026-02-11 03:37:33.010871,5,3,0.48206517739174065,NORMAL
2026-02-11 03:37:38.327854,6,0,0.7726289196435544,ANOMALY
2026-02-11 03:37:38.327912,6,1,1.4999983954041887,ANOMALY
2026-02-11 03:37:38.327940,6,2,0.0,NORMAL
2026-02-11 03:37:38.327962,6,3,0.4954450607879537,NORMAL
2026-02-11 03:37:43.637301,7,0,0.6379301921466135,ANOMALY
2026-02-11 03:37:43.637353,7,1,1.4999987486392548,ANOMALY
2026-02-11 03:37:43.637382,7,2,0.0,NORMAL
2026-02-11 03:37:43.637404,7,3,0.2876165743795719,NORMAL
2026-02-11 03:37:48.949389,8,0,0.7109620595308741,ANOMALY
2026-02-11 03:37:48.949448,8,1,1.4999988874625276,ANOMALY
2026-02-11 03:37:48.949479,8,2,0.0,NORMAL
2026-02-11 03:37:48.949506,8,3,0.32231152019638193,NORMAL
2026-02-11 03:37:54.288746,9,0,0.8178042987324068,ANOMALY
2026-02-11 03:37:54.288809,9,1,1.4999988109092945,ANOMALY
2026-02-11 03:37:54.288840,9,2,0.0,NORMAL
2026-02-11 03:37:54.288867,9,3,0.5910077366804596,ANOMALY
2026-02-11 03:37:59.694812,10,0,0.8603288795197088,ANOMALY
2026-02-11 03:37:59.694861,10,1,1.4999983066946125,ANOMALY
2026-02-11 03:37:59.694886,10,2,0.0,NORMAL
2026-02-11 03:37:59.694905,10,3,0.518512667570633,NORMAL
